source,target,strength,date,type
BCI,STANLIB,0.00943,2015,A
BCI,RECM,0.00755,2015,A
BCI,EFFICIENT,0.00566,2015,A
BCI,SIM,0.00943,2015,A
BCI,GRYPHON,0.00755,2015,A
BCI,TRUFFLE,0.00566,2015,A
BCI,SELECT,0.00755,2015,A
BCI,DISCOVERY,0.00755,2015,A
BCI,OLD,0.01132,2015,A
BCI,MARRIOT,0.00943,2015,A
BCI,NEWFUNDS,0.00566,2015,A
BCI,PIC,0.00943,2015,A
BCI,ALLAN,0.00566,2015,A
BCI,COMMUNITY,0.00943,2015,A
BCI,CADIZ,0.01132,2015,A
BCI,OASIS,0.00377,2015,A
BCI,ABSA,0.00755,2015,A
BCI,ASHBURTON,0.00943,2015,A
BCI,MOMENTUM,0.00943,2015,A
BCI,PRIME,0.00755,2015,A
BCI,CARTESIAN,0.00189,2015,A
BCI,GLACIER,0.00755,2015,A
BCI,COLOURFIELD,0.00755,2015,A
BCI,PRESCIENT,0.00943,2015,A
BCI,HOLLARD,0.00943,2015,A
BCI,CITADEL,0.00943,2015,A
BCI,PRUDENTIAL,0.00943,2015,A
BCI,CORONATION,0.00943,2015,A
BCI,PSG,0.01132,2015,A
BCI,US,0.00377,2015,A
BCI,INVESTEC,0.00566,2015,A
BCI,NEDBANK,0.00943,2015,A
STANLIB,BCI,0.00943,2015,A
STANLIB,RECM,0.00943,2015,A
STANLIB,EFFICIENT,0.00755,2015,A
STANLIB,SIM,0.01321,2015,A
STANLIB,GRYPHON,0.00755,2015,A
STANLIB,TRUFFLE,0.00755,2015,A
STANLIB,SELECT,0.00943,2015,A
STANLIB,DISCOVERY,0.01509,2015,A
STANLIB,OLD,0.01321,2015,A
STANLIB,MARRIOT,0.00943,2015,A
STANLIB,NEWFUNDS,0.00566,2015,A
STANLIB,PIC,0.00943,2015,A
STANLIB,ALLAN,0.00755,2015,A
STANLIB,COMMUNITY,0.00755,2015,A
STANLIB,CADIZ,0.01132,2015,A
STANLIB,OASIS,0.00566,2015,A
STANLIB,ABSA,0.00943,2015,A
STANLIB,ASHBURTON,0.01132,2015,A
STANLIB,MOMENTUM,0.01321,2015,A
STANLIB,PRIME,0.00755,2015,A
STANLIB,CARTESIAN,0.00377,2015,A
STANLIB,GLACIER,0.01132,2015,A
STANLIB,COLOURFIELD,0.00755,2015,A
STANLIB,PRESCIENT,0.01132,2015,A
STANLIB,HOLLARD,0.01132,2015,A
STANLIB,CITADEL,0.00943,2015,A
STANLIB,PRUDENTIAL,0.01132,2015,A
STANLIB,CORONATION,0.01321,2015,A
STANLIB,PSG,0.01132,2015,A
STANLIB,US,0.00566,2015,A
STANLIB,INVESTEC,0.01321,2015,A
STANLIB,NEDBANK,0.01132,2015,A
RECM,BCI,0.00755,2015,A
RECM,STANLIB,0.00943,2015,A
RECM,EFFICIENT,0.00755,2015,A
RECM,SIM,0.00755,2015,A
RECM,GRYPHON,0.00566,2015,A
RECM,TRUFFLE,0.00755,2015,A
RECM,SELECT,0.00755,2015,A
RECM,DISCOVERY,0.00755,2015,A
RECM,OLD,0.00755,2015,A
RECM,MARRIOT,0.00755,2015,A
RECM,NEWFUNDS,0.00377,2015,A
RECM,PIC,0.00755,2015,A
RECM,ALLAN,0.00755,2015,A
RECM,COMMUNITY,0.00566,2015,A
RECM,CADIZ,0.00755,2015,A
RECM,OASIS,0.00377,2015,A
RECM,ABSA,0.00566,2015,A
RECM,ASHBURTON,0.00943,2015,A
RECM,MOMENTUM,0.00755,2015,A
RECM,PRIME,0.00566,2015,A
RECM,CARTESIAN,0.00377,2015,A
RECM,GLACIER,0.00566,2015,A
RECM,COLOURFIELD,0.00566,2015,A
RECM,PRESCIENT,0.00943,2015,A
RECM,HOLLARD,0.01132,2015,A
RECM,CITADEL,0.00755,2015,A
RECM,PRUDENTIAL,0.00755,2015,A
RECM,CORONATION,0.00755,2015,A
RECM,PSG,0.00755,2015,A
RECM,US,0.00377,2015,A
RECM,INVESTEC,0.00755,2015,A
RECM,NEDBANK,0.00755,2015,A
EFFICIENT,BCI,0.00566,2015,A
EFFICIENT,STANLIB,0.00755,2015,A
EFFICIENT,RECM,0.00755,2015,A
EFFICIENT,SIM,0.00566,2015,A
EFFICIENT,GRYPHON,0.00377,2015,A
EFFICIENT,TRUFFLE,0.00566,2015,A
EFFICIENT,SELECT,0.00566,2015,A
EFFICIENT,DISCOVERY,0.00566,2015,A
EFFICIENT,OLD,0.00566,2015,A
EFFICIENT,MARRIOT,0.00566,2015,A
EFFICIENT,NEWFUNDS,0.00189,2015,A
EFFICIENT,PIC,0.00566,2015,A
EFFICIENT,ALLAN,0.00755,2015,A
EFFICIENT,COMMUNITY,0.00377,2015,A
EFFICIENT,CADIZ,0.00566,2015,A
EFFICIENT,OASIS,0.00189,2015,A
EFFICIENT,ABSA,0.00377,2015,A
EFFICIENT,ASHBURTON,0.00755,2015,A
EFFICIENT,MOMENTUM,0.00566,2015,A
EFFICIENT,PRIME,0.00377,2015,A
EFFICIENT,CARTESIAN,0.00377,2015,A
EFFICIENT,GLACIER,0.00377,2015,A
EFFICIENT,COLOURFIELD,0.00377,2015,A
EFFICIENT,PRESCIENT,0.00566,2015,A
EFFICIENT,HOLLARD,0.00566,2015,A
EFFICIENT,CITADEL,0.00566,2015,A
EFFICIENT,PRUDENTIAL,0.00566,2015,A
EFFICIENT,CORONATION,0.00566,2015,A
EFFICIENT,PSG,0.00566,2015,A
EFFICIENT,US,0.00189,2015,A
EFFICIENT,INVESTEC,0.00566,2015,A
EFFICIENT,NEDBANK,0.00566,2015,A
SIM,BCI,0.00943,2015,A
SIM,STANLIB,0.01321,2015,A
SIM,RECM,0.00755,2015,A
SIM,EFFICIENT,0.00566,2015,A
SIM,GRYPHON,0.00755,2015,A
SIM,TRUFFLE,0.00566,2015,A
SIM,SELECT,0.00943,2015,A
SIM,DISCOVERY,0.01132,2015,A
SIM,OLD,0.01321,2015,A
SIM,MARRIOT,0.00943,2015,A
SIM,NEWFUNDS,0.00566,2015,A
SIM,PIC,0.00943,2015,A
SIM,ALLAN,0.00566,2015,A
SIM,COMMUNITY,0.00755,2015,A
SIM,CADIZ,0.01132,2015,A
SIM,OASIS,0.00566,2015,A
SIM,ABSA,0.00943,2015,A
SIM,ASHBURTON,0.00943,2015,A
SIM,MOMENTUM,0.01509,2015,A
SIM,PRIME,0.00755,2015,A
SIM,CARTESIAN,0.00189,2015,A
SIM,GLACIER,0.02642,2015,A
SIM,COLOURFIELD,0.00755,2015,A
SIM,PRESCIENT,0.01132,2015,A
SIM,HOLLARD,0.01132,2015,A
SIM,CITADEL,0.00943,2015,A
SIM,PRUDENTIAL,0.00943,2015,A
SIM,CORONATION,0.01132,2015,A
SIM,PSG,0.01132,2015,A
SIM,US,0.00566,2015,A
SIM,INVESTEC,0.00943,2015,A
SIM,NEDBANK,0.00943,2015,A
GRYPHON,BCI,0.00755,2015,A
GRYPHON,STANLIB,0.00755,2015,A
GRYPHON,RECM,0.00566,2015,A
GRYPHON,EFFICIENT,0.00377,2015,A
GRYPHON,SIM,0.00755,2015,A
GRYPHON,TRUFFLE,0.00377,2015,A
GRYPHON,SELECT,0.00566,2015,A
GRYPHON,DISCOVERY,0.00566,2015,A
GRYPHON,OLD,0.00755,2015,A
GRYPHON,MARRIOT,0.00755,2015,A
GRYPHON,NEWFUNDS,0.00566,2015,A
GRYPHON,PIC,0.00755,2015,A
GRYPHON,ALLAN,0.00377,2015,A
GRYPHON,COMMUNITY,0.00566,2015,A
GRYPHON,CADIZ,0.00755,2015,A
GRYPHON,OASIS,0.00189,2015,A
GRYPHON,ABSA,0.00755,2015,A
GRYPHON,ASHBURTON,0.00755,2015,A
GRYPHON,MOMENTUM,0.00755,2015,A
GRYPHON,PRIME,0.00566,2015,A
GRYPHON,CARTESIAN,0.00189,2015,A
GRYPHON,GLACIER,0.00566,2015,A
GRYPHON,COLOURFIELD,0.00566,2015,A
GRYPHON,PRESCIENT,0.00755,2015,A
GRYPHON,HOLLARD,0.00755,2015,A
GRYPHON,CITADEL,0.00755,2015,A
GRYPHON,PRUDENTIAL,0.00755,2015,A
GRYPHON,CORONATION,0.00755,2015,A
GRYPHON,PSG,0.00755,2015,A
GRYPHON,US,0.00377,2015,A
GRYPHON,INVESTEC,0.00377,2015,A
GRYPHON,NEDBANK,0.00755,2015,A
TRUFFLE,BCI,0.00566,2015,A
TRUFFLE,STANLIB,0.00755,2015,A
TRUFFLE,RECM,0.00755,2015,A
TRUFFLE,EFFICIENT,0.00566,2015,A
TRUFFLE,SIM,0.00566,2015,A
TRUFFLE,GRYPHON,0.00377,2015,A
TRUFFLE,SELECT,0.00566,2015,A
TRUFFLE,DISCOVERY,0.00755,2015,A
TRUFFLE,OLD,0.00566,2015,A
TRUFFLE,MARRIOT,0.00566,2015,A
TRUFFLE,NEWFUNDS,0.00377,2015,A
TRUFFLE,PIC,0.00566,2015,A
TRUFFLE,ALLAN,0.00566,2015,A
TRUFFLE,COMMUNITY,0.00566,2015,A
TRUFFLE,CADIZ,0.00566,2015,A
TRUFFLE,OASIS,0.00377,2015,A
TRUFFLE,ABSA,0.00377,2015,A
TRUFFLE,ASHBURTON,0.00755,2015,A
TRUFFLE,MOMENTUM,0.00566,2015,A
TRUFFLE,PRIME,0.00566,2015,A
TRUFFLE,CARTESIAN,0.00377,2015,A
TRUFFLE,GLACIER,0.00566,2015,A
TRUFFLE,COLOURFIELD,0.00566,2015,A
TRUFFLE,PRESCIENT,0.00566,2015,A
TRUFFLE,HOLLARD,0.00566,2015,A
TRUFFLE,CITADEL,0.00566,2015,A
TRUFFLE,PRUDENTIAL,0.00566,2015,A
TRUFFLE,CORONATION,0.00566,2015,A
TRUFFLE,PSG,0.00566,2015,A
TRUFFLE,US,0.00377,2015,A
TRUFFLE,INVESTEC,0.00755,2015,A
TRUFFLE,NEDBANK,0.00566,2015,A
SELECT,BCI,0.00755,2015,A
SELECT,STANLIB,0.00943,2015,A
SELECT,RECM,0.00755,2015,A
SELECT,EFFICIENT,0.00566,2015,A
SELECT,SIM,0.00943,2015,A
SELECT,GRYPHON,0.00566,2015,A
SELECT,TRUFFLE,0.00566,2015,A
SELECT,DISCOVERY,0.00755,2015,A
SELECT,OLD,0.01321,2015,A
SELECT,MARRIOT,0.00755,2015,A
SELECT,NEWFUNDS,0.00377,2015,A
SELECT,PIC,0.00755,2015,A
SELECT,ALLAN,0.00566,2015,A
SELECT,COMMUNITY,0.00566,2015,A
SELECT,CADIZ,0.01887,2015,A
SELECT,OASIS,0.00377,2015,A
SELECT,ABSA,0.00566,2015,A
SELECT,ASHBURTON,0.00755,2015,A
SELECT,MOMENTUM,0.01698,2015,A
SELECT,PRIME,0.00566,2015,A
SELECT,CARTESIAN,0.00189,2015,A
SELECT,GLACIER,0.00755,2015,A
SELECT,COLOURFIELD,0.00566,2015,A
SELECT,PRESCIENT,0.00943,2015,A
SELECT,HOLLARD,0.00943,2015,A
SELECT,CITADEL,0.00755,2015,A
SELECT,PRUDENTIAL,0.00755,2015,A
SELECT,CORONATION,0.00755,2015,A
SELECT,PSG,0.00943,2015,A
SELECT,US,0.00377,2015,A
SELECT,INVESTEC,0.00755,2015,A
SELECT,NEDBANK,0.00755,2015,A
DISCOVERY,BCI,0.00755,2015,A
DISCOVERY,STANLIB,0.01509,2015,A
DISCOVERY,RECM,0.00755,2015,A
DISCOVERY,EFFICIENT,0.00566,2015,A
DISCOVERY,SIM,0.01132,2015,A
DISCOVERY,GRYPHON,0.00566,2015,A
DISCOVERY,TRUFFLE,0.00755,2015,A
DISCOVERY,SELECT,0.00755,2015,A
DISCOVERY,OLD,0.02642,2015,A
DISCOVERY,MARRIOT,0.00755,2015,A
DISCOVERY,NEWFUNDS,0.00566,2015,A
DISCOVERY,PIC,0.00755,2015,A
DISCOVERY,ALLAN,0.00566,2015,A
DISCOVERY,COMMUNITY,0.01132,2015,A
DISCOVERY,CADIZ,0.00943,2015,A
DISCOVERY,OASIS,0.00566,2015,A
DISCOVERY,ABSA,0.00755,2015,A
DISCOVERY,ASHBURTON,0.00943,2015,A
DISCOVERY,MOMENTUM,0.01132,2015,A
DISCOVERY,PRIME,0.00755,2015,A
DISCOVERY,CARTESIAN,0.00377,2015,A
DISCOVERY,GLACIER,0.01132,2015,A
DISCOVERY,COLOURFIELD,0.00755,2015,A
DISCOVERY,PRESCIENT,0.00943,2015,A
DISCOVERY,HOLLARD,0.00943,2015,A
DISCOVERY,CITADEL,0.00755,2015,A
DISCOVERY,PRUDENTIAL,0.00943,2015,A
DISCOVERY,CORONATION,0.01132,2015,A
DISCOVERY,PSG,0.00943,2015,A
DISCOVERY,US,0.00566,2015,A
DISCOVERY,INVESTEC,0.06038,2015,A
DISCOVERY,NEDBANK,0.00755,2015,A
OLD,BCI,0.01132,2015,A
OLD,STANLIB,0.01321,2015,A
OLD,RECM,0.00755,2015,A
OLD,EFFICIENT,0.00566,2015,A
OLD,SIM,0.01321,2015,A
OLD,GRYPHON,0.00755,2015,A
OLD,TRUFFLE,0.00566,2015,A
OLD,SELECT,0.01321,2015,A
