source,target,strength,date,type
BCI,STANLIB,0.26524,2015,A
BCI,RECM,0.01988,2015,A
BCI,EFFICIENT,0.00303,2015,A
BCI,SIM,0.04704,2015,A
BCI,GRYPHON,0.00797,2015,A
BCI,TRUFFLE,0.00637,2015,A
BCI,SELECT,0.00452,2015,A
BCI,DISCOVERY,0.00971,2015,A
BCI,OLD,0.12943,2015,A
BCI,MARRIOT,0.00634,2015,A
BCI,NEWFUNDS,0.00679,2015,A
BCI,PIC,0.00282,2015,A
BCI,ALLAN,0.04401,2015,A
BCI,COMMUNITY,0.00287,2015,A
BCI,CADIZ,0.02282,2015,A
BCI,OASIS,0.02672,2015,A
BCI,ABSA,0.58356,2015,A
BCI,ASHBURTON,0.02009,2015,A
BCI,MOMENTUM,0.1029,2015,A
BCI,PRIME,0.00692,2015,A
BCI,CARTESIAN,0.00441,2015,A
BCI,GLACIER,0.02814,2015,A
BCI,COLOURFIELD,0.00809,2015,A
BCI,PRESCIENT,0.02635,2015,A
BCI,HOLLARD,0.00582,2015,A
BCI,CITADEL,0.00431,2015,A
BCI,PRUDENTIAL,1.05365,2015,A
BCI,CORONATION,0.06247,2015,A
BCI,INV,0.00541,2015,A
BCI,PSG,0.0217,2015,A
BCI,US,0.01653,2015,A
BCI,INVESTEC,0.15867,2015,A
BCI,NEDBANK,0.11455,2015,A
STANLIB,BCI,0.26524,2015,A
STANLIB,RECM,0.26374,2015,A
STANLIB,EFFICIENT,0.26523,2015,A
STANLIB,SIM,0.26867,2015,A
STANLIB,GRYPHON,0.26426,2015,A
STANLIB,TRUFFLE,0.26477,2015,A
STANLIB,SELECT,0.26532,2015,A
STANLIB,DISCOVERY,0.26467,2015,A
STANLIB,OLD,0.29463,2015,A
STANLIB,MARRIOT,0.26483,2015,A
STANLIB,NEWFUNDS,0.26352,2015,A
STANLIB,PIC,0.26512,2015,A
STANLIB,ALLAN,0.26728,2015,A
STANLIB,COMMUNITY,0.26534,2015,A
STANLIB,CADIZ,0.26602,2015,A
STANLIB,OASIS,0.26536,2015,A
STANLIB,ABSA,0.6409,2015,A
STANLIB,ASHBURTON,0.25855,2015,A
STANLIB,MOMENTUM,0.28171,2015,A
STANLIB,PRIME,0.26527,2015,A
STANLIB,CARTESIAN,0.26533,2015,A
STANLIB,GLACIER,0.26622,2015,A
STANLIB,COLOURFIELD,0.26338,2015,A
STANLIB,PRESCIENT,0.2648,2015,A
STANLIB,HOLLARD,0.26497,2015,A
STANLIB,CITADEL,0.2649,2015,A
STANLIB,PRUDENTIAL,1.07467,2015,A
STANLIB,CORONATION,0.24015,2015,A
STANLIB,INV,0.26539,2015,A
STANLIB,PSG,0.26296,2015,A
STANLIB,US,0.26614,2015,A
STANLIB,INVESTEC,0.3039,2015,A
STANLIB,NEDBANK,0.28665,2015,A
RECM,BCI,0.01988,2015,A
RECM,STANLIB,0.26374,2015,A
RECM,EFFICIENT,0.01892,2015,A
RECM,SIM,0.04846,2015,A
RECM,GRYPHON,0.01964,2015,A
RECM,TRUFFLE,0.01518,2015,A
RECM,SELECT,0.01987,2015,A
RECM,DISCOVERY,0.02035,2015,A
RECM,OLD,0.13091,2015,A
RECM,MARRIOT,0.01983,2015,A
RECM,NEWFUNDS,0.01854,2015,A
RECM,PIC,0.01955,2015,A
RECM,ALLAN,0.04273,2015,A
RECM,COMMUNITY,0.02001,2015,A
RECM,CADIZ,0.02927,2015,A
RECM,OASIS,0.03217,2015,A
RECM,ABSA,0.58395,2015,A
RECM,ASHBURTON,0.02406,2015,A
RECM,MOMENTUM,0.10205,2015,A
RECM,PRIME,0.0203,2015,A
RECM,CARTESIAN,0.02002,2015,A
RECM,GLACIER,0.0339,2015,A
RECM,COLOURFIELD,0.01942,2015,A
RECM,PRESCIENT,0.02665,2015,A
RECM,HOLLARD,0.01815,2015,A
RECM,CITADEL,0.019,2015,A
RECM,PRUDENTIAL,1.05366,2015,A
RECM,CORONATION,0.061,2015,A
RECM,INV,0.02054,2015,A
RECM,PSG,0.02627,2015,A
RECM,US,0.02998,2015,A
RECM,INVESTEC,0.15572,2015,A
RECM,NEDBANK,0.11385,2015,A
EFFICIENT,BCI,0.00303,2015,A
EFFICIENT,STANLIB,0.26523,2015,A
EFFICIENT,RECM,0.01892,2015,A
EFFICIENT,SIM,0.04693,2015,A
EFFICIENT,GRYPHON,0.00756,2015,A
EFFICIENT,TRUFFLE,0.00497,2015,A
EFFICIENT,SELECT,0.00361,2015,A
EFFICIENT,DISCOVERY,0.00913,2015,A
EFFICIENT,OLD,0.12941,2015,A
EFFICIENT,MARRIOT,0.00581,2015,A
EFFICIENT,NEWFUNDS,0.00623,2015,A
EFFICIENT,PIC,0.00116,2015,A
EFFICIENT,ALLAN,0.0438,2015,A
EFFICIENT,COMMUNITY,0.00136,2015,A
EFFICIENT,CADIZ,0.02265,2015,A
EFFICIENT,OASIS,0.02657,2015,A
EFFICIENT,ABSA,0.58356,2015,A
EFFICIENT,ASHBURTON,0.01985,2015,A
EFFICIENT,MOMENTUM,0.10291,2015,A
EFFICIENT,PRIME,0.00638,2015,A
EFFICIENT,CARTESIAN,0.00351,2015,A
EFFICIENT,GLACIER,0.02801,2015,A
EFFICIENT,COLOURFIELD,0.00742,2015,A
EFFICIENT,PRESCIENT,0.02633,2015,A
EFFICIENT,HOLLARD,0.00526,2015,A
EFFICIENT,CITADEL,0.00365,2015,A
EFFICIENT,PRUDENTIAL,1.05365,2015,A
EFFICIENT,CORONATION,0.06222,2015,A
EFFICIENT,INV,0.00478,2015,A
EFFICIENT,PSG,0.02162,2015,A
EFFICIENT,US,0.01691,2015,A
EFFICIENT,INVESTEC,0.15835,2015,A
EFFICIENT,NEDBANK,0.11427,2015,A
SIM,BCI,0.04704,2015,A
SIM,STANLIB,0.26867,2015,A
SIM,RECM,0.04846,2015,A
SIM,EFFICIENT,0.04693,2015,A
SIM,GRYPHON,0.04728,2015,A
SIM,TRUFFLE,0.04704,2015,A
SIM,SELECT,0.04701,2015,A
SIM,DISCOVERY,0.04767,2015,A
SIM,OLD,0.13765,2015,A
SIM,MARRIOT,0.04726,2015,A
SIM,NEWFUNDS,0.04726,2015,A
SIM,PIC,0.04694,2015,A
SIM,ALLAN,0.0622,2015,A
SIM,COMMUNITY,0.04703,2015,A
SIM,CADIZ,0.05185,2015,A
SIM,OASIS,0.05382,2015,A
SIM,ABSA,0.58547,2015,A
SIM,ASHBURTON,0.05013,2015,A
SIM,MOMENTUM,0.11068,2015,A
SIM,PRIME,0.04738,2015,A
SIM,CARTESIAN,0.04714,2015,A
SIM,GLACIER,0.05137,2015,A
SIM,COLOURFIELD,0.04735,2015,A
SIM,PRESCIENT,0.05057,2015,A
SIM,HOLLARD,0.04652,2015,A
SIM,CITADEL,0.04662,2015,A
SIM,PRUDENTIAL,1.05453,2015,A
SIM,CORONATION,0.07712,2015,A
SIM,INV,0.04725,2015,A
SIM,PSG,0.05038,2015,A
SIM,US,0.05086,2015,A
SIM,INVESTEC,0.16456,2015,A
SIM,NEDBANK,0.12282,2015,A
GRYPHON,BCI,0.00797,2015,A
GRYPHON,STANLIB,0.26426,2015,A
GRYPHON,RECM,0.01964,2015,A
GRYPHON,EFFICIENT,0.00756,2015,A
GRYPHON,SIM,0.04728,2015,A
GRYPHON,TRUFFLE,0.00871,2015,A
GRYPHON,SELECT,0.00836,2015,A
GRYPHON,DISCOVERY,0.01181,2015,A
GRYPHON,OLD,0.12962,2015,A
GRYPHON,MARRIOT,0.00913,2015,A
GRYPHON,NEWFUNDS,0.00857,2015,A
GRYPHON,PIC,0.00738,2015,A
GRYPHON,ALLAN,0.04393,2015,A
GRYPHON,COMMUNITY,0.00761,2015,A
GRYPHON,CADIZ,0.02379,2015,A
GRYPHON,OASIS,0.02755,2015,A
GRYPHON,ABSA,0.58358,2015,A
GRYPHON,ASHBURTON,0.01989,2015,A
GRYPHON,MOMENTUM,0.10268,2015,A
GRYPHON,PRIME,0.0097,2015,A
GRYPHON,CARTESIAN,0.00827,2015,A
GRYPHON,GLACIER,0.02894,2015,A
GRYPHON,COLOURFIELD,0.01012,2015,A
GRYPHON,PRESCIENT,0.02622,2015,A
GRYPHON,HOLLARD,0.00829,2015,A
GRYPHON,CITADEL,0.00768,2015,A
GRYPHON,PRUDENTIAL,1.05364,2015,A
GRYPHON,CORONATION,0.06211,2015,A
GRYPHON,INV,0.00889,2015,A
GRYPHON,PSG,0.02202,2015,A
GRYPHON,US,0.01758,2015,A
GRYPHON,INVESTEC,0.15863,2015,A
GRYPHON,NEDBANK,0.11462,2015,A
TRUFFLE,BCI,0.00637,2015,A
TRUFFLE,STANLIB,0.26477,2015,A
TRUFFLE,RECM,0.01518,2015,A
TRUFFLE,EFFICIENT,0.00497,2015,A
TRUFFLE,SIM,0.04704,2015,A
TRUFFLE,GRYPHON,0.00871,2015,A
TRUFFLE,SELECT,0.0067,2015,A
TRUFFLE,DISCOVERY,0.00994,2015,A
TRUFFLE,OLD,0.12953,2015,A
TRUFFLE,MARRIOT,0.00742,2015,A
TRUFFLE,NEWFUNDS,0.00633,2015,A
TRUFFLE,PIC,0.00556,2015,A
TRUFFLE,ALLAN,0.0436,2015,A
TRUFFLE,COMMUNITY,0.00592,2015,A
TRUFFLE,CADIZ,0.02309,2015,A
TRUFFLE,OASIS,0.02683,2015,A
TRUFFLE,ABSA,0.58358,2015,A
TRUFFLE,ASHBURTON,0.01981,2015,A
TRUFFLE,MOMENTUM,0.103,2015,A
TRUFFLE,PRIME,0.00812,2015,A
TRUFFLE,CARTESIAN,0.00651,2015,A
TRUFFLE,GLACIER,0.02842,2015,A
TRUFFLE,COLOURFIELD,0.00877,2015,A
TRUFFLE,PRESCIENT,0.02696,2015,A
TRUFFLE,HOLLARD,0.00742,2015,A
TRUFFLE,CITADEL,0.00689,2015,A
TRUFFLE,PRUDENTIAL,1.05367,2015,A
TRUFFLE,CORONATION,0.06156,2015,A
TRUFFLE,INV,0.00749,2015,A
TRUFFLE,PSG,0.02216,2015,A
TRUFFLE,US,0.01794,2015,A
TRUFFLE,INVESTEC,0.15741,2015,A
TRUFFLE,NEDBANK,0.11412,2015,A
SELECT,BCI,0.00452,2015,A
SELECT,STANLIB,0.26532,2015,A
SELECT,RECM,0.01987,2015,A
SELECT,EFFICIENT,0.00361,2015,A
SELECT,SIM,0.04701,2015,A
SELECT,GRYPHON,0.00836,2015,A
