Unit Trust,Firm,Exposures
ALLAN GRAY EQUITY ,'SASOL, LTD.',11866212453
ALLAN GRAY EQUITY ,STANDARD BANK GROUP LTD.,12173136318
ALLAN GRAY EQUITY ,ORBIS GLOBAL EQUITY,2559044202
ALLAN GRAY EQUITY ,SABMILLER PLC,9746320863
ALLAN GRAY EQUITY ,OLD MUTUAL PLC,6410818344
ALLAN GRAY EQUITY ,NASPERS LTD,2761511853
ALLAN GRAY EQUITY ,BRITISH AMERICAN TOBACCO PLC,12472662756
NED RAINMAKER,STEINHOFF INVESTMENT HOLDINGS LD,5690153000
NED RAINMAKER,NASPERS LTD,15494388000
NED RAINMAKER,'SASOL, LTD.',4313820000
NED RAINMAKER,RICHEMONT SECURITIES AG ADR,5247648000
NED RAINMAKER,GROWTHPOINT PROPERTIES LTD.,1131337046
NED RAINMAKER,SABMILLER PLC,4457180000
NED RAINMAKER,ANGLO AMERICAN PLC,1258264329
NED RAINMAKER,STANDARD BANK GROUP LTD.,1359553622
NED RAINMAKER,FIRSTRAND LIMITED,8251194000
NED RAINMAKER,ASPEN PHARMACARE HOLDINGS PLC,3087993216
NED RAINMAKER,BRITISH AMERICAN TOBACCO PLC,7491923544
NED RAINMAKER,OLD MUTUAL PLC,6758640000
NED RAINMAKER,MTN GROUP LIMITED,4419450000
ALLAN GRAY BALANCED ,'SASOL, LTD.',17444359890
ALLAN GRAY BALANCED ,STANDARD BANK GROUP LTD.,15876995397
ALLAN GRAY BALANCED ,ORBIS GLOBAL EQUITY,20514681480
ALLAN GRAY BALANCED ,ORBIS OPTIMAL SA  USD,27768171894
ALLAN GRAY BALANCED ,BRITISH AMERICAN TOBACCO PLC,20498740149
ALLAN GRAY BALANCED ,OLD MUTUAL PLC,6888302019
ALLAN GRAY BALANCED ,SABMILLER PLC,13476418809
SANLAM BALANCED ,STEINHOFF INVESTMENT HOLDINGS LD,3831558081
SANLAM BALANCED ,'SASOL, LTD.',3817729981
SANLAM BALANCED ,ASPEN PHARMACARE HOLDINGS PLC,541776768
SANLAM BALANCED ,STANDARD BANK GROUP LTD.,5013658104
SANLAM BALANCED ,FIRSTRAND LIMITED,2177147323
SANLAM BALANCED ,RSA 21/12/27,2923498812
SANLAM BALANCED ,SABMILLER PLC,1488099444
SANLAM BALANCED ,OLD MUTUAL PLC,3997134960
SANLAM BALANCED ,NASPERS LTD,2074615400
SANLAM BALANCED ,ANGLO AMERICAN PLC,2290639260
SANLAM BALANCED ,BRITISH AMERICAN TOBACCO PLC,3903021109
SANLAM BALANCED ,RICHEMONT SECURITIES AG ADR,1310895144
SANLAM BALANCED ,MTN GROUP LIMITED,1366878500
FOORD BALANCED ,STEINHOFF INVESTMENT HOLDINGS LD,11872976563
FOORD BALANCED ,STANDARD BANK GROUP LTD.,9082502016
FOORD BALANCED ,BRITISH AMERICAN TOBACCO PLC,8635106361
FOORD BALANCED ,SABMILLER PLC,10020432492
FOORD BALANCED ,'SASOL, LTD.',9142644889
FOORD BALANCED ,RICHEMONT SECURITIES AG ADR,11429907482
FOORD BALANCED ,FOORD INTERNATIONAL TRUST,37404554915
