risk A,risk B,risk C,risk D
86.1371224881,88.8011857543,99.7600852431,75.6245064107
93.7572455204,80.4878366442,91.7601010863,87.3072311739
90.0744737681,93.0912845883,100.634204429,74.860191462
86.9686334301,87.162942563,100.779997073,72.7646961523
83.0867509674,82.84388485,99.8145873592,73.6559044398
89.3186876723,88.0647939229,89.4890706748,87.8891270711
92.7314621144,80.1750674922,97.8517719821,80.5961046875
78.2345560817,76.6491465193,99.3755399423,89.4034980172
91.6896442324,82.9785354388,95.8618859032,70.7414194873
83.8978020162,74.6303426045,91.2239849106,78.4646316594
85.4390311963,83.5422238967,96.0318243373,83.4057429109
88.4365246958,83.01015176,98.2963800243,77.1713942835
89.0973974341,79.804240008,102.001879489,84.1863635553
89.2994655638,83.1862250292,96.6633651381,76.8773275357
86.7028691181,87.6616502837,93.8951464515,89.1668744227
86.754286095,88.0117292284,89.5103855789,81.7449513202
86.5796860382,90.8875036019,100.13126965,86.4296583703
89.7540308163,87.1366796126,100.757298798,81.6480302502
78.4500638749,76.7344822831,102.161019154,80.5940834909
81.4514738573,86.8174539866,102.238108683,74.256053214
95.1255856897,80.0696263555,94.4220658329,81.7956541759
87.8673563112,86.5328601889,96.0524944801,79.9023286345
91.5033937942,78.3681087202,94.2509022954,81.0433707705
79.5025449119,88.9123413019,103.269970529,73.8488624745
88.8150208704,87.23300226,99.0301175389,80.2266065297
84.5590444015,87.6465797242,84.7217323961,76.6246076381
89.0228707042,92.5082036359,102.903609119,82.9160146767
86.8095903461,82.888866404,92.9812266972,83.9299826035
85.8179484527,84.7778207277,102.102421454,80.7739504296
91.7531104528,88.5549659054,94.7805017414,78.2695512077
96.5400849678,85.8222213501,111.579614639,90.4720803058
86.3409147201,87.7809948868,95.9034795801,71.6134699276
93.9854891315,89.3858093533,94.768440005,81.9584631415
84.967177836,84.6345463105,107.624051736,80.4929607197
82.28943505,88.8244382987,93.4829070817,84.7725563725
71.7043200563,88.0167189393,108.844160347,81.7001653051
90.8038635229,87.6236673829,94.8211833372,78.6405162631
88.4145272617,88.7816919859,100.408657672,78.5875402231
86.0027653033,90.8382484647,104.790220181,76.6655301922
88.7871376881,86.6268220221,95.6401847505,80.347926266
98.0359869433,85.7565484729,107.777771579,77.972294565
89.2241282237,92.3584057045,107.66671915,80.2024941551
82.6400688765,77.9707911815,91.4692360831,75.8756799935
90.014618454,76.1588029002,91.2377477791,75.6525212579
83.528672664,86.5434113187,94.632991916,75.2165999938
89.2364898048,85.833911642,102.01690921,76.8290597758
96.2204300946,86.2915922148,89.2931662912,82.4745892691
89.8733945614,85.536366151,97.3459692852,81.4881705971
86.841029525,90.5342905973,96.7267612925,87.0627643769
87.7555818647,75.6583218647,94.8391272284,76.8285364577
93.5954845071,87.3393896496,93.4430061512,86.2954165813
86.3162111313,92.0310651957,98.3349739129,81.4579708974
100.57220175,91.8522860035,96.4476077677,84.8871116518
85.9414943395,90.7257134424,97.5578858987,84.4446964025
87.8470591899,80.1378669909,102.140791323,79.4932697294
89.0854179528,92.326198995,94.5630571638,87.5318143276
85.6280509231,78.8995939233,88.8951630436,85.3271453394
90.0243822877,85.4479623779,87.2472335793,83.8634703865
92.8265610175,85.2421466389,86.1122487649,74.1679908922
86.5127071224,75.269891907,103.0468847,76.9183834935
81.2521787607,90.4470001057,97.000797923,86.2535828787
80.6818219382,78.092633213,96.5284037099,80.2060719649
97.9708811743,80.5055203455,98.6215204652,75.6327946022
94.1190864149,96.7009899442,97.1105072195,70.6997070188
86.3680478726,87.8326374519,95.1779255653,84.7489581948
89.3463064511,82.7076590577,98.8302661599,76.5228356886
84.9762419871,77.9504794809,96.3295540012,78.5320853228
89.3896585496,86.7577640413,95.457076533,91.2333292065
88.2533119915,87.678187822,98.6428683524,77.2736653813
88.3730267823,82.9087304408,100.686653541,82.0245409668
96.0096336552,94.4996644686,102.505892872,74.1292851126
82.2344064273,88.205249793,93.4432464681,82.8521757797
79.3343083969,81.3782270857,92.8132751997,83.257989255
80.5442144563,85.7974058279,103.166534438,83.8678181495
90.4786282543,82.5692183683,100.379573752,72.868983255
89.0366400647,76.857674265,102.447915037,68.803847236
84.7117268187,84.1897084479,97.8418764204,79.1615244474
85.1984255862,81.1109518569,108.936419727,79.2285954968
96.9413429157,91.984712529,97.0312675813,76.7665323424
90.8487300406,88.8205333249,99.6712687699,80.9759159201
93.9008839736,86.442348079,103.24743735,80.3707666818
86.9972359441,81.9398625175,97.1535267133,87.2533621292
86.7206337253,84.366735291,94.2633350176,80.8727375548
91.5314839224,87.4013893214,102.553309723,84.8485964878
92.3072452348,73.4735276561,100.668020508,88.9064691395
87.664073516,83.8311852035,98.2861371611,81.4553254146
88.2903049998,86.3526111686,98.845234673,87.0296177385
90.3506912236,75.6261207412,92.658373626,87.7816063867
85.3910413161,86.0716823774,92.9414862038,87.3023626581
91.5445589133,80.7789096409,98.891822359,84.8820303976
82.5523850841,78.5780176601,90.9096940275,87.5346429251
82.2530985219,76.6028015973,100.052272079,75.8478225735
78.3393862507,89.8059718847,101.026681495,81.0971147272
86.0375775799,89.3458574125,96.5454960614,82.1717817511
93.7982304532,84.0909156368,99.3025259422,84.261009821
89.6063861579,85.1743195691,98.5850808675,75.2810103272
94.0214674287,94.1916934068,98.6930453322,81.0344387332
79.8965999233,86.6994740404,102.769099121,86.011424824
89.3957005858,75.4366184187,95.7953484067,80.4508980531
85.7430099972,94.0053690846,97.6061525015,75.9374979877
