source,target,strength,date,type
STANLIB,RECM,0.00063,2015,A
STANLIB,SIM,0.00022,2015,A
STANLIB,GRYPHON,0.00032,2015,A
STANLIB,TRUFFLE,0.00017,2015,A
STANLIB,DISCOVERY,0.00022,2015,A
STANLIB,OLD,0.00017,2015,A
STANLIB,MARRIOT,0.00015,2015,A
STANLIB,NEWFUNDS,0.00051,2015,A
STANLIB,ALLAN,0.00046,2015,A
STANLIB,OASIS,0.00035,2015,A
STANLIB,ASHBURTON,0.00198,2015,A
STANLIB,MOMENTUM,0.00083,2015,A
STANLIB,GLACIER,0.00016,2015,A
STANLIB,COLOURFIELD,0.00055,2015,A
STANLIB,PRESCIENT,0.0005,2015,A
STANLIB,HOLLARD,0.00012,2015,A
STANLIB,CITADEL,0.00013,2015,A
STANLIB,PRUDENTIAL,0.01284,2015,A
STANLIB,CORONATION,0.00832,2015,A
STANLIB,PSG,0.00087,2015,A
STANLIB,INVESTEC,0.00162,2015,A
STANLIB,NEDBANK,0.00067,2015,A
RECM,STANLIB,0.00063,2015,A
RECM,SIM,0.00013,2015,A
RECM,TRUFFLE,0.0001,2015,A
RECM,ALLAN,0.00026,2015,A
RECM,ASHBURTON,0.00011,2015,A
RECM,MOMENTUM,0.00029,2015,A
RECM,PRESCIENT,0.0002,2015,A
RECM,PRUDENTIAL,0.00019,2015,A
RECM,CORONATION,0.0003,2015,A
RECM,INVESTEC,0.00066,2015,A
RECM,NEDBANK,0.00027,2015,A
SIM,STANLIB,0.00022,2015,A
SIM,RECM,0.00013,2015,A
SIM,ALLAN,0.00014,2015,A
SIM,MOMENTUM,0.00028,2015,A
SIM,GLACIER,0.00018,2015,A
SIM,PRESCIENT,0.00018,2015,A
SIM,PRUDENTIAL,0.00019,2015,A
SIM,INVESTEC,0.00015,2015,A
SIM,NEDBANK,0.00011,2015,A
GRYPHON,STANLIB,0.00032,2015,A
TRUFFLE,STANLIB,0.00017,2015,A
TRUFFLE,RECM,0.0001,2015,A
TRUFFLE,INVESTEC,0.00022,2015,A
DISCOVERY,STANLIB,0.00022,2015,A
DISCOVERY,PRUDENTIAL,0.00011,2015,A
DISCOVERY,CORONATION,0.00012,2015,A
DISCOVERY,INVESTEC,0.00101,2015,A
OLD,STANLIB,0.00017,2015,A
OLD,OASIS,0.00022,2015,A
OLD,CORONATION,0.00028,2015,A
OLD,INVESTEC,0.00079,2015,A
MARRIOT,STANLIB,0.00015,2015,A
NEWFUNDS,STANLIB,0.00051,2015,A
NEWFUNDS,CORONATION,0.0001,2015,A
ALLAN,STANLIB,0.00046,2015,A
ALLAN,RECM,0.00026,2015,A
ALLAN,SIM,0.00014,2015,A
ALLAN,MOMENTUM,0.00051,2015,A
ALLAN,PRESCIENT,0.00035,2015,A
ALLAN,PRUDENTIAL,0.00037,2015,A
ALLAN,CORONATION,0.00011,2015,A
ALLAN,PSG,0.00013,2015,A
ALLAN,INVESTEC,0.00039,2015,A
ALLAN,NEDBANK,0.00012,2015,A
CADIZ,MOMENTUM,0.00013,2015,A
OASIS,STANLIB,0.00035,2015,A
OASIS,OLD,0.00022,2015,A
OASIS,GLACIER,0.00015,2015,A
OASIS,PRESCIENT,0.00018,2015,A
OASIS,CORONATION,0.00061,2015,A
